DIFT Depositors Export
Generated: 7/17/2025, 6:42:50 PM
Total Depositors: 100
Individual: 73, Corporate: 27
Date Range: 2025-06-17 to 2025-07-17

ID,Name,Identifier,Depositor Type,Bank,Bank BIC,Registration Date,Formatted Date
25,Individual_25,TJGBA816584,Individual,Eskhata Bank,ESKHATJT,2025-07-17T13:26:34.285722,"Jul 17, 2025"
26,Individual_26,TJSUG226403,Individual,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285722,"Jul 17, 2025"
27,Individual_27,TJKHA922329,Individual,Spitamen Bank,SPITAMJT,2025-07-17T13:26:34.285723,"Jul 17, 2025"
28,Company_28,TJ524702,Corporate,Amonatbank,AMONATJT,2025-07-17T13:26:34.285723,"Jul 17, 2025"
29,Individual_29,TJSUG821906,Individual,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285724,"Jul 17, 2025"
30,Individual_30,TJKHA376126,Individual,Tojiksodirotbank,TOJIKSJT,2025-07-17T13:26:34.285724,"Jul 17, 2025"
31,Individual_31,TJSUG647159,Individual,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285725,"Jul 17, 2025"
32,Individual_32,TJSUG607738,Individual,Spitamen Bank,SPITAMJT,2025-07-17T13:26:34.285725,"Jul 17, 2025"
33,Individual_33,TJDRS817202,Individual,Amonatbank,AMONATJT,2025-07-17T13:26:34.285726,"Jul 17, 2025"
34,Individual_34,FN596929,Individual,Eskhata Bank,ESKHATJT,2025-07-17T13:26:34.285726,"Jul 17, 2025"
35,Individual_35,TJSUG822311,Individual,Eskhata Bank,ESKHATJT,2025-07-17T13:26:34.285727,"Jul 17, 2025"
36,Individual_36,TJDRS507578,Individual,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285729,"Jul 17, 2025"
37,Individual_37,FN292652,Individual,Amonatbank,AMONATJT,2025-07-17T13:26:34.285729,"Jul 17, 2025"
38,Individual_38,TJDUS686870,Individual,Spitamen Bank,SPITAMJT,2025-07-17T13:26:34.285730,"Jul 17, 2025"
39,Individual_39,FN151004,Individual,Orient Finans Bank,ORIENTJT,2025-07-17T13:26:34.285731,"Jul 17, 2025"
40,Company_40,TJ571672,Corporate,Spitamen Bank,SPITAMJT,2025-07-17T13:26:34.285731,"Jul 17, 2025"
41,Individual_41,TJGBA348814,Individual,Spitamen Bank,SPITAMJT,2025-07-17T13:26:34.285732,"Jul 17, 2025"
42,Individual_42,FN622877,Individual,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285732,"Jul 17, 2025"
43,Company_43,TJ527557,Corporate,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285733,"Jul 17, 2025"
44,Company_44,TJ568345,Corporate,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285733,"Jul 17, 2025"
45,Individual_45,TJGBA496767,Individual,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285734,"Jul 17, 2025"
46,Individual_46,TJDUS740726,Individual,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285734,"Jul 17, 2025"
47,Individual_47,TJDUS347403,Individual,Eskhata Bank,ESKHATJT,2025-07-17T13:26:34.285735,"Jul 17, 2025"
48,Individual_48,FN193757,Individual,Orient Finans Bank,ORIENTJT,2025-07-17T13:26:34.285735,"Jul 17, 2025"
49,Individual_49,TJDUS742607,Individual,Tojiksodirotbank,TOJIKSJT,2025-07-17T13:26:34.285736,"Jul 17, 2025"
50,Company_50,TJ542909,Corporate,Orient Finans Bank,ORIENTJT,2025-07-17T13:26:34.285736,"Jul 17, 2025"
51,Company_51,TJ521126,Corporate,Eskhata Bank,ESKHATJT,2025-07-17T13:26:34.285737,"Jul 17, 2025"
52,Individual_52,TJSUG454430,Individual,Orient Finans Bank,ORIENTJT,2025-07-17T13:26:34.285738,"Jul 17, 2025"
53,Individual_53,TJKHA219360,Individual,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285738,"Jul 17, 2025"
54,Individual_54,TJGBA283667,Individual,Amonatbank,AMONATJT,2025-07-17T13:26:34.285739,"Jul 17, 2025"
55,Company_55,TJ561958,Corporate,Fononbank,FONONBJT,2025-07-17T13:26:34.285739,"Jul 17, 2025"
56,Individual_56,FN372824,Individual,Spitamen Bank,SPITAMJT,2025-07-17T13:26:34.285740,"Jul 17, 2025"
57,Individual_57,FN812479,Individual,Spitamen Bank,SPITAMJT,2025-07-17T13:26:34.285740,"Jul 17, 2025"
58,Individual_58,FN247608,Individual,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285741,"Jul 17, 2025"
59,Individual_59,TJKHA676660,Individual,Fononbank,FONONBJT,2025-07-17T13:26:34.285741,"Jul 17, 2025"
60,Company_60,TJ596602,Corporate,Tojiksodirotbank,TOJIKSJT,2025-07-17T13:26:34.285742,"Jul 17, 2025"
61,Individual_61,TJDUS836040,Individual,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285742,"Jul 17, 2025"
62,Individual_62,FN795998,Individual,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285743,"Jul 17, 2025"
63,Individual_63,TJKHA380966,Individual,Fononbank,FONONBJT,2025-07-17T13:26:34.285743,"Jul 17, 2025"
64,Individual_64,FN498899,Individual,Orient Finans Bank,ORIENTJT,2025-07-17T13:26:34.285744,"Jul 17, 2025"
65,Company_65,TJ546839,Corporate,Fononbank,FONONBJT,2025-07-17T13:26:34.285744,"Jul 17, 2025"
66,Individual_66,TJDUS387518,Individual,Eskhata Bank,ESKHATJT,2025-07-17T13:26:34.285745,"Jul 17, 2025"
67,Individual_67,TJSUG684941,Individual,Amonatbank,AMONATJT,2025-07-17T13:26:34.285745,"Jul 17, 2025"
68,Individual_68,FN262437,Individual,Fononbank,FONONBJT,2025-07-17T13:26:34.285746,"Jul 17, 2025"
69,Company_69,TJ534294,Corporate,Fononbank,FONONBJT,2025-07-17T13:26:34.285746,"Jul 17, 2025"
70,Individual_70,FN576132,Individual,Amonatbank,AMONATJT,2025-07-17T13:26:34.285747,"Jul 17, 2025"
71,Company_71,TJ524379,Corporate,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285747,"Jul 17, 2025"
72,Individual_72,TJDRS481273,Individual,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285748,"Jul 17, 2025"
73,Individual_73,TJKHA722095,Individual,Fononbank,FONONBJT,2025-07-17T13:26:34.285748,"Jul 17, 2025"
74,Company_74,TJ519433,Corporate,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285749,"Jul 17, 2025"
75,Company_75,TJ584313,Corporate,Amonatbank,AMONATJT,2025-07-17T13:26:34.285749,"Jul 17, 2025"
76,Individual_76,TJKHA687895,Individual,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285750,"Jul 17, 2025"
77,Individual_77,TJGBA516494,Individual,Amonatbank,AMONATJT,2025-07-17T13:26:34.285750,"Jul 17, 2025"
78,Individual_78,TJGBA640869,Individual,Amonatbank,AMONATJT,2025-07-17T13:26:34.285751,"Jul 17, 2025"
79,Company_79,TJ588280,Corporate,Amonatbank,AMONATJT,2025-07-17T13:26:34.285752,"Jul 17, 2025"
80,Company_80,TJ543563,Corporate,Tojiksodirotbank,TOJIKSJT,2025-07-17T13:26:34.285752,"Jul 17, 2025"
81,Individual_81,TJDUS261135,Individual,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285753,"Jul 17, 2025"
82,Company_82,TJ561622,Corporate,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285753,"Jul 17, 2025"
83,Company_83,TJ590476,Corporate,Tojiksodirotbank,TOJIKSJT,2025-07-17T13:26:34.285754,"Jul 17, 2025"
84,Company_84,TJ542658,Corporate,Fononbank,FONONBJT,2025-07-17T13:26:34.285754,"Jul 17, 2025"
85,Individual_85,TJKHA399006,Individual,Fononbank,FONONBJT,2025-07-17T13:26:34.285755,"Jul 17, 2025"
86,Individual_86,TJDUS608617,Individual,Tajprombank,TAJPROJT,2025-07-17T13:26:34.285755,"Jul 17, 2025"
87,Individual_87,FN404942,Individual,Amonatbank,AMONATJT,2025-07-17T13:26:34.285756,"Jul 17, 2025"
88,Individual_88,FN425113,Individual,Fononbank,FONONBJT,2025-07-17T13:26:34.285756,"Jul 17, 2025"
89,Individual_89,TJDRS584490,Individual,Tojiksodirotbank,TOJIKSJT,2025-07-17T13:26:34.285757,"Jul 17, 2025"
90,Individual_90,TJDUS556880,Individual,Spitamen Bank,SPITAMJT,2025-07-17T13:26:34.285757,"Jul 17, 2025"
91,Company_91,TJ566113,Corporate,Amonatbank,AMONATJT,2025-07-17T13:26:34.285758,"Jul 17, 2025"
92,Individual_92,TJGBA775570,Individual,Tojiksodirotbank,TOJIKSJT,2025-07-17T13:26:34.285758,"Jul 17, 2025"
93,Individual_93,TJKHA522569,Individual,Orient Finans Bank,ORIENTJT,2025-07-17T13:26:34.285759,"Jul 17, 2025"
94,Company_94,TJ565687,Corporate,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285759,"Jul 17, 2025"
95,Individual_95,TJDRS843590,Individual,Amonatbank,AMONATJT,2025-07-17T13:26:34.285760,"Jul 17, 2025"
96,Individual_96,TJKHA111228,Individual,Tojiksodirotbank,TOJIKSJT,2025-07-17T13:26:34.285760,"Jul 17, 2025"
97,Individual_97,TJKHA766422,Individual,Spitamen Bank,SPITAMJT,2025-07-17T13:26:34.285761,"Jul 17, 2025"
98,Company_98,TJ570075,Corporate,Kazkommertsbank Tajikistan,KAZKOMJT,2025-07-17T13:26:34.285761,"Jul 17, 2025"
99,Individual_99,TJGBA633506,Individual,Fononbank,FONONBJT,2025-07-17T13:26:34.285762,"Jul 17, 2025"
100,Individual_100,FN183544,Individual,Eskhata Bank,ESKHATJT,2025-07-17T13:26:34.285763,"Jul 17, 2025"
